id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
119050,,,,GJ 3932,,,15.997418,14.99644,25.0,-413.63,-731.1,0.0,13.99,12.0,m,1.58,-12.088483,-20.905047,6.468976,-5.488e-05,5.23e-06,-8.558e-05,4.188114186258655,0.2617372518438999,-2.0053348269e-06,-3.544463122e-06,,,Ser,1,119050,,0.0013803842646028,,,
119051,,,,Gl 606.1B,,,16.169671,-84.237664,35.868,-319.95,-5.58,0.0,11.03,8.256,k-m,1.36,-1.66257,-3.194483,-35.686756,-4.892e-05,2.65e-05,-1e-07,4.233210004931453,-1.47022458459975,-1.5511613709e-06,-2.7071995e-08,,,Oct,2,79000,Gl 606.1,0.0434110209707345,,,
119052,,,,GJ 3933,,,16.014289,40.327874,21.2766,-285.23,-265.98,0.0,13.12,11.48,m,,-8.057844,-14.077252,13.76938,-3.435e-05,-8e-07,-2.091e-05,4.192531052296947,0.70385418687105,-1.382834061e-06,-1.289502579e-06,,,Her,1,119052,,0.0022284351492703,,,
119053,,,,GJ 3934,,,16.039934,-25.101591,20.4082,-230.82,-607.64,0.0,13.2,11.651,m,,-9.072661,-16.100509,-8.65766,-7.38e-06,3.342e-05,-5.444e-05,4.199244910653127,-0.43810540712275,-1.1190469375e-06,-2.945902455e-06,,,Sco,1,119053,,0.001903706531742,,,
119054,,,,Gl 607,,,16.028823,30.179116,16.3399,-322.18,136.75,10.1,12.51,11.444,M3,1.56,-6.970442,-12.285995,8.214407,-2.392e-05,9.56e-06,1.456e-05,4.196336177364199,0.5267249323474,-1.561972716e-06,6.63006948e-07,,,CrB,1,119054,,0.0023035625001175,,,
119055,,,,GJ 3935A,,,16.031397,30.459172,22.2222,-125.04,129.48,0.0,13.37,11.636,m,,-9.441067,-16.667119,11.264972,-8.24e-06,1.279e-05,1.202e-05,4.197009867448692,0.53161284308005,-6.062110262e-07,6.27741601e-07,,,CrB,1,119055,GJ 3935,0.0019301897276345,,,
119056,,,,GJ 3936B,,,16.029177,30.460699,22.2222,-125.04,129.48,0.0,15.17,13.436,m,,-9.450603,-16.661368,11.265482,-8.23e-06,1.28e-05,1.202e-05,4.196428762448692,0.53163948508005,-6.062110262e-07,6.27741601e-07,,,CrB,2,119056,GJ 3936,0.0003677900704224,,,
119057,,,,Gl 609,,,16.04764,20.587624,10.0604,-957.93,-1243.89,25.0,12.56,12.547,M3,1.63,-4.607576,-8.215205,3.538084,-6.289e-05,-1.666e-05,-4.779e-05,4.201262341215492,0.35932182458585,-4.6441756901e-06,-6.030568283e-06,,,Her,1,119057,,0.0008340651974087,,,
119061,,,,GJ 3937,,,16.072137,-6.280874,16.5563,-59.29,-847.93,0.0,15.51,14.415,dM4.5-5,1.89,-7.957852,-14.40496,-1.8113,-5.7e-07,8.81e-06,-6.765e-05,4.20767567869844,-0.10962193278965,-2.874460312e-07,-4.110875793e-06,,,Oph,1,119061,,0.0001492794409579,,,
119062,,,,GJ 9543B,,,16.094135,-32.864744,24.3902,-352.24,-228.75,0.0,9.0,7.064,K1 V,,-9.803307,-17.988824,-13.23553,-2.955e-05,3.281e-05,-2.272e-05,4.213434744614581,-0.5735979930798499,-1.7077077084e-06,-1.109001597e-06,,,Lup,2,78602,GJ 9543,0.1301367630107464,,,
119063,,,,GJ 9543C,,,16.094135,-32.864744,24.3902,-352.24,-228.75,0.0,11.1,9.164,K5,,-9.803307,-17.988824,-13.23553,-2.955e-05,3.281e-05,-2.272e-05,4.213434744614581,-0.5735979930798499,-1.7077077084e-06,-1.109001597e-06,,,Lup,3,78602,GJ 9543,0.018810485289187,,,
119064,,,,Gl 611B,,,16.080799,39.158113,14.3658,-618.09,48.64,0.0,14.23,13.443,m,1.72,-5.364796,-9.762361,9.071466,-3.67e-05,2.26e-05,2.63e-06,4.209943328756093,0.6834379936383,-2.9965848781e-06,2.35832766e-07,,,CrB,2,78536,Gl 611,0.0003654264677507,,,
119065,,,,GJ 3939,,,16.124556,5.964714,23.2558,-295.5,-222.67,0.0,13.46,11.627,m,,-10.905735,-20.397476,2.416648,-3.061e-05,1.34e-05,-2.497e-05,4.221398983778698,0.1041039020265,-1.432624426e-06,-1.07953947e-06,,,Ser,1,119065,,0.0019462561593612,,,
119066,,,,GJ 1197,,,16.12056,26.836947,21.9298,357.71,-430.86,0.0,13.33,11.625,m,1.64,-9.244092,-17.246665,9.900275,2.374e-05,-3.62e-05,-4.087e-05,4.220352784350836,0.4683930848616,1.7342270167e-06,-2.088882768e-06,,,CrB,1,119066,,0.001949844599758,,,
119067,,,,GJ 1198,,,16.137256,-10.439781,21.322,-351.68,-1303.39,0.0,14.7,13.056,M2,1.7,-9.825371,-18.524646,-3.863589,-2.07e-05,3.856e-05,-0.0001325,4.224723855362411,-0.1822085451667,-1.7049927518e-06,-6.319003334e-06,,,Sco,1,119067,,0.0005219152658354,,,
119068,,,,GJ 3941,,,16.091016,76.917564,23.8095,-294.49,57.24,0.0,12.35,10.466,M1.5,,-2.58386,-4.729557,23.191534,-2.675e-05,2.194e-05,1.5e-06,4.212618044609607,1.34246474585235,-1.4277278079e-06,2.77517047e-07,,,UMi,1,119068,,0.0056702211816054,,,
119069,,,,GJ 3943,,,16.219731,-70.158924,14.2857,-253.15,-587.8,0.0,13.75,12.975,k-m,,-2.179455,-4.331315,-13.437668,1.54e-06,4.208e-05,-1.382e-05,4.246315538708384,-1.2245042319527002,-1.2273058323e-06,-2.849759054e-06,,,TrA,1,119069,,0.0005623413251903,,,
119070,,,,GJ 1199,,,16.190392,13.36966,18.2149,-10.37,-539.9,131.0,15.09,13.788,DA6,0.23,-8.087946,-15.775259,4.213432,-6.531e-05,-0.00012538,-1.538e-05,4.238634619241067,0.23334458854695,-5.02751787e-08,-2.617509061e-06,,,Her,1,119070,,0.0002659500032722,,,
119072,,,,GJ 3945,,,16.239315,-28.508955,16.129,-365.76,-369.62,0.0,12.96,11.922,M3.5,,-6.304351,-12.693929,-7.698309,-1.948e-05,2.507e-05,-2.54e-05,4.2514427792741,-0.49757512620425,-1.773254518e-06,-1.791944085e-06,,,Sco,1,119072,,0.0014832009671818,,,
119073,,,,GJ 3946,,,16.245575,4.868353,21.2766,-412.56,78.7,0.0,13.53,11.89,m,,-9.398476,-19.002681,1.805672,-3.784e-05,1.948e-05,8.09e-06,4.253081617633975,0.0849687974183,-2.0001473205e-06,3.81548366e-07,,,Her,1,119073,,0.001527566058238,,,
119074,,,,GJ 1200,,,16.242558,19.10067,17.6991,-1999.16,352.5,-82.0,12.92,11.68,m,1.54,-7.42501,-14.981709,5.790286,-0.00011418,0.00015598,1.14e-06,4.25229184194119,0.3333695836232,-9.6922011762e-06,1.708992464e-06,,,Her,1,119074,,0.0018535316234148,,,
119076,,,,GJ 3947,,,16.258917,24.461845,23.8095,-68.91,240.31,0.0,11.99,10.106,M2,1.51,-9.540041,-19.459597,9.859208,-2.09e-06,1.381e-05,2.525e-05,4.256574485744636,0.4269397369998,-3.340851073e-07,1.165079996e-06,,,Her,1,119076,,0.0078995072133581,,,
119077,,,,Gl 618B,,,16.334532,-37.530714,8.4724,-708.46,993.22,0.0,14.15,14.51,M5  :,1.79,-2.837867,-6.090101,-5.161273,-3.687e-05,-1.025e-05,3.234e-05,4.276370388449936,-0.6550345336780999,-3.4347110013e-06,4.815266438e-06,,,Sco,2,79777,Gl 618,0.0001367728825596,,,
119078,,,,GJ 9557B,,,16.331919,39.707068,24.4499,-129.99,1.82,0.0,11.0,9.059,,,-7.955846,-17.044462,15.620129,-1.39e-05,6.64e-06,1.7e-07,4.275686267534832,0.6930190659684,-6.302093034e-07,8.799368e-09,,,Her,2,79766,GJ 9557,0.02072048897759,,,
119079,,,,GJ 3951B,,,16.306539,75.720584,24.57,-84.65,245.83,0.0,14.51,12.558,m,,-2.599964,-5.474153,23.810895,3.06e-06,2.996e-05,7.22e-06,4.2690419022609705,1.32157350984315,-4.103947806e-07,1.191836863e-06,,,UMi,2,119079,GJ 3951,0.0008256576326213,,,
119080,,,,Gl 624.1B,,,16.399638,61.513695,26.8962,-29.97,74.17,0.0,8.8,6.652,K2,,-5.218863,-11.718524,23.639907,-1.1e-07,9.35e-06,4.61e-06,4.293415317066997,1.07361651728495,-1.452986601e-07,3.59605699e-07,,,Dra,2,80089,Gl 624.1,0.1901953960442307,,,
119081,,,,GJ 3953,,,16.425591,26.026245,15.1515,-179.97,3.14,0.0,12.24,11.338,m,,-5.454341,-12.474747,6.648218,-1.207e-05,5.39e-06,2.1e-07,4.300209628040956,0.45424367139985,-8.725191809e-07,1.5227997e-08,,,Her,1,119081,,0.0025398028137728,,,
119082,,,,GJ 3954,,,16.446541,-17.393765,11.9048,-324.4,-393.53,0.0,14.3,13.921,m,,-4.493949,-10.433779,-3.558784,-1.451e-05,1.364e-05,-2.167e-05,4.305694311221014,-0.303578466879,-1.5727355797e-06,-1.90787758e-06,,,Oph,1,119082,,0.0002352881201938,,,
119083,,,,GJ 1201,,,16.464805,9.203848,22.5734,-91.71,-450.76,0.0,16.13,14.362,DA s,0.38,-8.716579,-20.507158,3.610559,-1.232e-05,-3.34e-06,-4.869e-05,4.310475785868678,0.16063744348065,-4.446226264e-07,-2.185370387e-06,,,Her,1,119083,,0.00015674727518,,,
119084,,,,GJ 3955,,,16.467364,15.564577,24.3902,15.7,-299.59,0.0,13.18,11.244,m,,-9.176579,-21.629655,6.544484,-2e-06,-9.48e-06,-3.412e-05,4.311145861787392,0.27165312181955,7.61157478e-08,-1.452443609e-06,,,Her,1,119084,,0.0027694912668096,,,
119085,,,,Gl 626.2,,,16.473904,36.76969,15.625,-475.92,716.31,24.0,13.85,12.881,DZA6,0.17,-4.869412,-11.531398,9.353858,-2.823e-05,2.582e-05,5.816e-05,4.312857939736575,0.6417521549285501,-2.3073252685e-06,3.472778571e-06,,,Her,1,119085,,0.0006131969697157,,,
